,hours
1424,20
1425,17
1426,5
1427,3
1428,2
1429,2
1430,1
1431,23
1432,22
1433,21
1434,19
1435,4
1436,3
1437,2
1438,2
1439,0
1440,23
1441,19
1442,17
1443,17
1444,4
1445,3
1446,21
1447,21
1448,19
1449,17
1450,3
1451,2
1452,1
1453,0
1454,23
1455,22
1456,21
1457,20
1458,19
1459,18
1460,17
1461,16
1462,4
1463,3
1464,2
1465,2
1466,0
1467,21
1468,18
1469,18
1470,17
1471,5
1472,5
1473,3
1474,3
1475,1
1476,0
1477,4
1478,3
1479,2
1480,1
1481,22
1482,21
1483,17
1484,16
1485,4
1486,4
1487,3
1488,2
1489,2
1490,1
1491,0
1492,20
1493,18
1494,5
1495,3
1496,3
1497,2
1498,2
1499,1
1500,1
1501,22
1502,22
1503,18
1504,16
1505,1
1506,18
1507,16
1508,5
1509,4
1510,3
1511,3
1512,2
1513,1
1514,0
1515,19
1516,19
1517,18
1518,17
1519,16
1520,3
1521,3
1522,3
1523,2
1524,1
1525,23
1526,20
1527,18
1528,4
1529,2
1530,2
1531,2
1532,2
1533,1
1534,1
1535,22
1536,20
1537,17
1538,17
1539,17
1540,14
1541,4
1542,4
1543,3
1544,3
1545,2
1546,2
1547,1
1548,22
1549,20
1550,18
1551,16
1552,15
1553,4
1554,3
1555,1
1556,1
1557,0
1558,21
1559,18
1560,17
1561,17
1562,4
1563,4
1564,4
1565,3
1566,2
1567,1
1568,1
1569,23
1570,23
1571,22
1572,20
1573,18
1574,16
1575,16
1576,15
1577,4
1578,4
1579,3
1580,3
1581,2
1582,2
1584,1
1585,21
1586,17
1587,17
1588,16
1589,16
1590,15
1591,4
1592,3
1593,3
1594,2
1595,2
1596,2
1597,2
1598,0
1599,0
1600,0
1601,20
1602,18
1603,17
1604,17
1605,17
1606,4
1607,3
1608,3
1609,3
1610,3
1611,2
1612,2
1613,1
1614,1
1615,0
1616,0
1617,0
1618,23
1619,23
1620,20
1621,19
1622,18
1623,17
1624,17
1625,17
1626,16
1627,6
1628,4
1629,3
1630,2
1631,2
1632,2
1633,1
1634,23
1635,20
1636,18
1637,16
1638,16
1639,16
1640,16
1641,15
1642,4
1643,3
1644,3
1645,2
1646,2
1647,1
1648,1
1649,1
1650,1
1651,0
1652,0
1653,23
1654,23
1655,20
1656,17
1657,16
1658,15
1659,4
1660,3
1661,3
1662,3
1663,3
1664,3
1665,3
1666,2
1667,2
1668,2
1669,2
1670,1
1671,0
1672,0
1673,22
1674,21
1675,19
1676,19
1677,18
1678,4
1679,4
1680,4
1681,4
1682,3
1683,3
1684,3
1685,3
1686,1
1687,1
1688,0
1689,22
1690,20
1691,18
1692,14
1693,4
1694,4
1695,4
1696,3
1697,3
1698,3
1699,2
1700,2
1701,2
1702,22
1703,22
1704,21
1705,20
1706,17
1707,17
1708,4
1710,3
1711,2
1712,2
1713,1
1714,1
1715,1
1716,22
1717,21
1718,18
1719,18
1720,18
1721,17
1722,17
1723,4
1724,4
1725,4
1726,3
1727,3
1728,2
1729,2
1730,2
1731,1
1732,1
1733,0
1734,21
1735,21
1736,19
1737,18
1738,16
1739,15
1740,15
1741,3
1742,3
1743,2
1744,2
1745,2
1746,1
1747,0
1748,20
1749,19
1750,18
1751,17
1752,17
1753,17
1754,16
1755,5
1756,4
1757,4
1758,4
1759,3
1760,3
1761,3
1762,3
1763,2
1764,2
1765,2
1766,1
1767,1
1768,0
1769,0
1770,0
1771,18
1772,16
1773,15
1774,15
1775,15
1776,4
1777,4
1778,3
1779,3
1780,2
1781,2
1782,2
1783,2
1784,1
1785,1
1786,1
1787,0
1788,23
1789,23
1790,16
1791,5
1792,5
1793,5
1794,5
1795,5
1796,4
1797,4
1798,4
1799,4
1800,3
1801,3
1802,3
1803,3
1804,2
1805,2
1806,2
1807,2
1808,1
1809,1
1810,1
1811,1
1812,0
1813,0
1814,22
1815,22
1816,21
1817,20
1818,19
1819,19
1820,18
1821,18
1822,5
1823,5
1824,4
1825,4
1826,3
1827,3
1828,3
1829,2
1830,2
1831,2
1832,2
1833,2
1834,2
1835,1
1836,1
1837,1
1838,1
1839,0
1840,23
1841,22
1842,22
1843,20
1844,19
1845,18
1846,17
1847,4
1848,3
1849,3
1850,2
1851,2
1852,2
1853,1
1854,1
1855,0
1856,0
1857,22
1858,21
1859,20
1860,20
1861,18
1862,17
1863,16
1864,5
1865,5
1866,1
1867,1
1868,0
1869,23
1870,21
1871,19
1872,19
1873,18
1874,17
1875,17
1876,17
1877,17
1878,5
1879,4
1880,4
1881,4
1882,3
1883,3
1884,3
1885,3
1886,3
1887,1
1888,1
1889,1
1890,18
1891,18
1892,17
1893,6
1894,4
1895,4
1896,3
1897,3
1898,3
1899,3
1900,3
1901,2
1902,2
1903,2
1904,2
1905,1
1906,0
1907,23
1908,21
1909,20
1910,19
1911,18
1912,16
1913,15
1914,13
1915,4
1916,4
1917,4
1918,4
1919,3
1920,3
1921,3
1922,3
1923,3
1924,2
1925,2
1926,2
1927,23
1928,21
1929,21
1930,21
1931,20
1932,19
1933,18
1934,17
1935,17
1936,16
1937,5
1938,4
1939,4
1940,3
1941,3
1942,2
1943,2
1944,1
1945,0
1946,0
1947,23
1948,22
1949,20
1950,19
1951,19
1952,17
1953,5
1954,4
1955,4
1956,3
1957,3
1958,2
1959,1
1960,1
1961,1
1962,0
1963,0
1964,22
1965,20
1966,20
1967,19
1968,19
1969,18
1970,18
1971,15
1972,15
1975,3
1976,3
1977,3
1978,3
1979,2
1980,2
1981,2
1982,1
1983,1
1984,0
1985,0
1986,23
1987,22
1988,21
1989,21
1990,20
1991,20
1992,20
1993,18
1994,17
1995,15
1996,5
1997,4
1998,4
1999,3
2000,3
2001,3
2002,3
2003,2
2004,2
2005,2
2006,1
2007,1
2008,0
2009,23
2010,21
2011,20
2012,19
2013,19
2014,18
2015,16
2016,15
2017,14
2018,4
2019,4
2020,3
2021,3
2022,2
2023,1
2024,0
2025,0
2026,22
2027,19
2028,18
2029,16
2030,15
2031,3
2032,2
2033,2
2034,2
2035,1
2036,1
2037,1
2038,0
2039,0
2040,0
2041,23
2042,21
2043,21
2044,20
2045,20
2046,19
2047,16
2048,16
2049,15
2050,14
2051,4
2052,3
2053,3
2054,3
2055,2
2056,1
2057,1
2058,1
2059,1
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,23
2067,23
2068,22
